10.0 1010.0 6.104
10.0 1510.0 9.334
10.0 2010.0 13.544
10.0 2510.0 17.904
10.0 3010.0 22.12
10.0 3510.0 26.33
10.0 4010.0 30.534
10.0 4510.0 35.768
10.0 5010.0 41.508
10.0 5510.0 48.708
10.0 6010.0 56.244
10.0 6510.0 64.388
10.0 7010.0 72.634
10.0 7510.0 82.75
10.0 8010.0 94.542
10.0 8510.0 99.422
10.0 9010.0 108.422
10.0 9510.0 114.87
110.0 10.0 1.128
110.0 510.0 28.336
110.0 1010.0 59.574
110.0 1510.0 85.13
110.0 2010.0 110.234
110.0 2510.0 136.84
110.0 3010.0 173.548
110.0 3510.0 202.634
110.0 4010.0 237.174
110.0 4510.0 272.1
110.0 5010.0 316.698
110.0 5510.0 350.682
110.0 6010.0 389.566
110.0 6510.0 431.628
110.0 7010.0 469.926
110.0 7510.0 510.962
110.0 8010.0 547.542
110.0 8510.0 582.462
110.0 9010.0 628.684
110.0 9510.0 673.254
210.0 10.0 1.016
210.0 510.0 35.54
210.0 1010.0 79.294
210.0 1510.0 129.274
210.0 2010.0 178.288
210.0 2510.0 229.09
210.0 3010.0 281.634
210.0 3510.0 340.526
210.0 4010.0 403.464
210.0 4510.0 469.278
210.0 5010.0 536.47
210.0 5510.0 610.224
210.0 6010.0 674.88
210.0 6510.0 740.512
210.0 7010.0 809.904
210.0 7510.0 878.544
210.0 8010.0 933.22
210.0 8510.0 997.278
210.0 9010.0 1056.484
210.0 9510.0 1124.608
310.0 10.0 1.058
310.0 510.0 44.208
310.0 1010.0 88.746
310.0 1510.0 142.82
310.0 2010.0 203.288
310.0 2510.0 265.62
310.0 3010.0 331.96
310.0 3510.0 404.03
310.0 4010.0 484.524
310.0 4510.0 566.032
310.0 5010.0 652.9
310.0 5510.0 740.784
310.0 6010.0 828.48
310.0 6510.0 919.344
310.0 7010.0 1013.468
310.0 7510.0 1115.948
310.0 8010.0 1198.88
310.0 8510.0 1306.236
310.0 9010.0 1421.594
310.0 9510.0 1496.25
410.0 10.0 1.264
410.0 510.0 58.726
410.0 1010.0 97.302
410.0 1510.0 154.552
410.0 2010.0 217.37
410.0 2510.0 286.708
